Rank,name,number,name,number
64,adrian,66023,kylie,46386
65,nathaniel,64133,mary,45938
66,sean,64052,paige,45519
67,alex,63688,riley,45482
68,carlos,63094,leah,45303
69,ian,61871,jenna,45250
70,bryan,61867,sara,43944
71,owen,61821,rebecca,43533
72,jesus,61256,michelle,43472
73,landon,61037,sofia,43329
74,julian,60301,vanessa,43174
75,chase,57109,jordan,43126
76,cole,56805,angelina,42727
77,diego,55989,caroline,41803
78,jeremiah,55481,avery,41666
79,steven,53798,audrey,41476
80,sebastian,53794,evelyn,40686
81,xavier,52365,maya,39983
82,timothy,52306,claire,38985
83,carter,52279,autumn,38440
84,wyatt,51297,jocelyn,38348
85,brayden,50290,ariana,37937
86,blake,50043,nevaeh,37861
87,hayden,49985,arianna,37767
88,devin,49335,jada,37016
89,cody,48794,bailey,36830
90,richard,48514,brooklyn,36772
91,seth,48098,aaliyah,36299
92,dominic,48044,amber,36168
93,jaden,46191,isabel,35994
94,antonio,46154,mariah,35588
95,miguel,46034,danielle,35568
96,liam,44873,melanie,35186
97,patrick,44720,sierra,34467
98,carson,44602,erin,33342
99,jesse,43276,molly,33245
100,tristan,43232,amelia,33214
101,alejandro,43072,isabelle,32822
102,henry,42577,madelyn,32597
103,victor,40630,melissa,32567
104,trevor,40005,jacqueline,32093
105,bryce,39845,marissa,32029
106,jake,39794,shelby,31270
107,riley,39570,angela,31251
108,colin,39100,leslie,31026
109,jared,37975,katie,30355
110,jeremy,37427,jade,30239
111,mark,37177,catherine,29654
112,caden,36691,diana,29520
113,garrett,36204,aubrey,29492
114,parker,35696,mya,28743
115,marcus,35569,amy,28727
116,vincent,35235,briana,28684
117,kaleb,34707,sophie,28651
118,kaden,34569,gabriela,28506
119,brady,34290,breanna,27962
120,colton,34204,gianna,27825
121,kenneth,34031,kennedy,27539
122,joel,33604,gracie,27447
123,oscar,33511,peyton,27440
124,josiah,33129,adriana,27374
125,jorge,32993,christina,27085
126,cooper,32409,courtney,26943
127,ashton,32382,daniela,26615
128,tanner,31658,lydia,26246
129,eduardo,31374,kathryn,26235
130,paul,30840,valeria,26187
131,edward,30745,layla,26160
132,ivan,30634,alexandria,25883
133,preston,30290,natalia,25484
134,maxwell,30029,angel,25371
135,alan,29615,laura,24923
136,levi,29190,charlotte,24217
137,stephen,28829,margaret,23874
138,grant,28394,cheyenne,23864
139,nicolas,28238,mikayla,23708
140,omar,28136,miranda,23705
141,dakota,28106,naomi,23624
142,alexis,28013,kelsey,23370
143,george,27974,payton,23356
144,collin,27795,ana,23144
145,eli,27763,alicia,23097
146,spencer,27416,jillian,22800
147,gage,27370,daisy,22773
148,max,27337,mckenzie,22524
149,cristian,27170,ashlyn,22445
150,ricardo,27162,sabrina,22301
151,derek,26987,caitlin,22280
152,micah,26956,summer,22133
153,brody,26668,ruby,21969
154,francisco,26479,rylee,21934
155,nolan,26352,valerie,21922
156,ayden,26246,skylar,21851
157,dalton,26151,lindsey,21624
158,shane,26088,kelly,21599
159,peter,26080,genesis,21404
160,damian,25983,zoey,21341
161,jeffrey,25885,eva,21307
162,brendan,25816,sadie,21260
163,travis,25692,alexia,21205
164,fernando,25128,cassidy,21153
165,peyton,24930,kylee,21134
166,conner,24892,kendall,21012
167,andres,24748,jordyn,20968
168,javier,24599,kate,20750
169,giovanni,24192,jayla,20707
170,shawn,24134,karen,20583
171,braden,24057,tiffany,20155
172,jonah,23666,cassandra,20109
173,bradley,23581,juliana,20039
174,cesar,23576,reagan,19959
175,emmanuel,23498,caitlyn,19761
176,manuel,23413,giselle,19708
177,edgar,22572,serenity,19553
178,erik,22391,alondra,19484
179,mario,22390,lucy,19352
180,edwin,22037,bianca,18893
181,johnathan,21867,kiara,18891
182,devon,21585,crystal,18876
183,erick,21411,erica,18843
184,wesley,21043,angelica,18656
185,oliver,20896,hope,18644
186,trenton,20862,chelsea,18000
187,hector,20853,alana,17900
188,malachi,20711,liliana,17588
189,jalen,20430,camila,17538
190,raymond,20328,brittany,17536
191,gregory,20028,makenzie,17455
192,abraham,19790,lilly,17217
193,elias,19584,veronica,17215
194,leonardo,19469,abby,17192
195,sergio,19424,jazmin,17183
196,donovan,19302,adrianna,17148
197,colby,19168,delaney,17070
198,marco,19102,karina,17067
199,bryson,19037,ellie,16999
200,martin,18722,jasmin,16890
